epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,107.901,1.99047,1.51031,1.00899,0.90091,0.90433,0.94077,0.43934,1.63448,0.88966,0.88315,0.00199467,0.000664889,0.00199467,0.000664889,0.00199467,0.000664889,0.00199467,0.000664889
2,197.333,1.51608,0.81348,0.88557,0.9358,0.9305,0.95882,0.442,1.66705,0.85608,0.86595,0.0039566,0.00131887,0.0039566,0.00131887,0.0039566,0.00131887,0.0039566,0.00131887
3,282.073,1.33656,0.68631,0.85855,0.95884,0.95427,0.9785,0.4839,1.58044,0.76674,0.853,0.00588041,0.00196014,0.00588041,0.00196014,0.00588041,0.00196014,0.00588041,0.00196014
4,365.522,1.2548,0.62846,0.84429,0.96937,0.96509,0.98473,0.50147,1.54079,0.72108,0.84497,0.00582847,0.00194282,0.00582847,0.00194282,0.00582847,0.00194282,0.00582847,0.00194282
5,448.702,1.1946,0.59415,0.83465,0.97531,0.97336,0.99018,0.57551,1.29955,0.64715,0.82527,0.00577129,0.00192376,0.00577129,0.00192376,0.00577129,0.00192376,0.00577129,0.00192376
6,532.182,1.14981,0.56813,0.82855,0.97358,0.97475,0.99029,0.56643,1.35543,0.6436,0.83029,0.00571411,0.0019047,0.00571411,0.0019047,0.00571411,0.0019047,0.00571411,0.0019047
7,620.461,1.1078,0.54755,0.82383,0.97273,0.97607,0.98942,0.55296,1.38979,0.66469,0.82907,0.00565693,0.00188564,0.00565693,0.00188564,0.00565693,0.00188564,0.00565693,0.00188564
8,702.748,1.09122,0.53783,0.82049,0.97662,0.97613,0.99102,0.56989,1.37284,0.63115,0.82678,0.00559975,0.00186658,0.00559975,0.00186658,0.00559975,0.00186658,0.00559975,0.00186658
9,785.07,1.06554,0.5244,0.81797,0.97566,0.97875,0.99074,0.58716,1.35808,0.62467,0.82561,0.00554258,0.00184753,0.00554258,0.00184753,0.00554258,0.00184753,0.00554258,0.00184753
10,867.77,1.05576,0.51605,0.81552,0.97441,0.97966,0.98952,0.57432,1.38312,0.63645,0.82705,0.0054854,0.00182847,0.0054854,0.00182847,0.0054854,0.00182847,0.0054854,0.00182847
